Date,Three_Component_Index,News_Based_Policy_Uncert_Index
6-2001,86.3902740478515,93.4612350463867
7-2001,102.131851196289,120.294593811035
8-2001,84.2891235351562,95.3999710083007
9-2001,188.059494018554,272.764495849609
10-2001,173.143371582031,247.294281005859
11-2001,130.575637817382,172.488830566406
12-2001,117.236587524414,149.708938598632
1-2002,116.837455749511,148.449737548828
2-2002,87.6006851196289,104.609436035156
3-2002,83.4404296875,97.5129928588867
4-2002,88.5661010742187,106.164649963378
5-2002,86.2988586425781,98.6400299072265
6-2002,93.6102218627929,111.149948120117
7-2002,110.305168151855,139.6611328125
8-2002,116.014823913574,136.119064331054
9-2002,124.043144226074,149.848190307617
10-2002,111.885971069335,128.97361755371
11-2002,123.284378051757,162.221405029296
12-2002,122.221672058105,160.411331176757
1-2003,138.953399658203,185.591613769531
2-2003,126.727737426757,161.759765625
3-2003,163.523803710937,224.647201538085
4-2003,135.627548217773,176.579849243164
5-2003,102.619819641113,122.309822082519
6-2003,95.8273010253906,110.69554901123
7-2003,91.7415084838867,103.748245239257
8-2003,95.6718139648437,91.7141723632812
9-2003,106.115760803222,109.553955078125
10-2003,88.0437850952148,78.5859832763671
11-2003,84.9182357788085,78.6960906982421
12-2003,91.7369918823242,90.3435974121093
1-2004,96.5664596557617,88.277587890625
2-2004,99.4572982788085,88.9014816284179
3-2004,96.7894668579101,84.3309020996093
4-2004,94.1152801513671,79.7269134521484
5-2004,92.3211822509765,97.2080307006835
6-2004,85.3459777832031,85.2744827270507
7-2004,87.544189453125,88.9564971923828
8-2004,85.9258651733398,84.4498672485351
9-2004,100.011886596679,108.509582519531
10-2004,105.695114135742,118.341445922851
11-2004,95.240852355957,96.6957702636718
12-2004,77.596435546875,66.5328750610351
1-2005,73.9184799194335,66.7343368530273
2-2005,58.9500503540039,51.695686340332
3-2005,57.5579566955566,49.3086357116699
4-2005,74.5659713745117,78.3958663940429
5-2005,70.5081176757812,75.0907745361328
6-2005,74.5613250732421,82.0055847167968
7-2005,68.7164459228515,71.9395446777343
8-2005,64.3958587646484,59.6172332763671
9-2005,91.4060592651367,105.769859313964
10-2005,76.1636810302734,79.8299942016601
11-2005,72.2159881591796,60.0678520202636
12-2005,78.0489273071289,70.026756286621
1-2006,79.1753463745117,75.0792388916015
2-2006,72.6929931640625,69.4917449951171
3-2006,64.2293319702148,55.0080757141113
4-2006,79.7615280151367,81.6517181396484
5-2006,70.8362579345703,67.8097915649414
6-2006,79.4943313598632,82.5862808227539
7-2006,80.5623092651367,84.4744567871093
8-2006,72.7699661254882,71.5150985717773
9-2006,67.0675354003906,61.7513465881347
10-2006,63.4644660949707,55.6295089721679
11-2006,62.5198440551757,49.5991287231445
12-2006,63.3704071044921,51.0390396118164
1-2007,79.0196685791015,74.510025024414
2-2007,57.2026214599609,50.8600196838378
3-2007,69.8872909545898,72.5298614501953
4-2007,62.5017013549804,59.8413887023925
5-2007,74.6818695068359,71.1373214721679
6-2007,73.2965393066406,68.7592391967773
7-2007,59.3239784240722,44.7827529907226
8-2007,89.1040496826171,90.0072937011718
9-2007,100.74437713623,109.892654418945
10-2007,89.4545288085937,90.6400680541992
11-2007,102.441108703613,106.566162109375
12-2007,108.543800354003,116.990898132324
1-2008,144.984725952148,177.042205810546
2-2008,108.104690551757,108.314735412597
3-2008,111.712356567382,114.474571228027
4-2008,102.196907043457,98.1977081298828
5-2008,94.2840347290039,88.6734313964843
6-2008,94.5567550659179,89.1368789672851
7-2008,109.788970947265,115.102722167968
8-2008,95.8707580566406,81.1630859375
9-2008,187.740310668945,238.171875
10-2008,189.917282104492,241.772277832031
11-2008,148.842575073242,162.71337890625
12-2008,145.994674682617,157.828674316406
1-2009,171.946228027343,184.817825317382
2-2009,187.114028930664,202.547958374023
3-2009,166.903381347656,167.991226196289
4-2009,131.856124877929,107.927253723144
5-2009,138.805847167968,125.944625854492
6-2009,130.933486938476,112.47264099121
7-2009,126.282150268554,104.355110168457
8-2009,152.550094604492,111.174339294433
9-2009,145.444366455078,99.0096359252929
10-2009,138.130554199218,86.2417526245117
11-2009,116.162315368652,99.7792663574218
12-2009,121.22102355957,108.396095275878
1-2010,149.359283447265,136.863861083984
2-2010,132.798645019531,116.721549987792
3-2010,137.470016479492,124.6875
4-2010,137.077392578125,123.702201843261
5-2010,151.103424072265,147.763244628906
6-2010,140.569152832031,129.732192993164
7-2010,180.014450073242,196.947235107421
8-2010,147.309097290039,127.228172302246
9-2010,182.146697998046,186.741226196289
10-2010,163.424911499023,154.762756347656
11-2010,179.13557434082,175.04426574707
12-2010,165.407852172851,151.553344726562
1-2011,142.170455932617,111.492813110351
2-2011,145.508895874023,104.562362670898
3-2011,174.354370117187,153.841720581054
4-2011,157.495895385742,124.846580505371
5-2011,126.192070007324,84.5491638183593
6-2011,158.088623046875,139.037902832031
7-2011,197.916351318359,207.16030883789
8-2011,245.126724243164,283.665588378906
9-2011,204.629791259765,214.42610168457
10-2011,159.73957824707,137.839248657226
11-2011,166.33901977539,143.714553833007
12-2011,189.398361206054,183.088623046875
1-2012,178.286529541015,154.418029785156
2-2012,149.637084960937,119.435432434082
3-2012,137.553115844726,98.7481079101562
4-2012,136.596694946289,96.9696731567382
5-2012,158.561965942382,135.879837036132
6-2012,194.610580444335,197.460968017578
7-2012,184.879699707031,180.80354309082
8-2012,152.353454589843,142.955291748046
9-2012,175.277053833007,182.107192993164
10-2012,165.94448852539,166.12840270996
11-2012,187.490646362304,205.864669799804
12-2012,192.825164794921,214.951950073242
1-2013,157.533309936523,199.358947753906
2-2013,114.654113769531,128.5625
3-2013,124.940811157226,146.115844726562
4-2013,118.710479736328,135.44058227539
5-2013,104.304550170898,109.028038024902
6-2013,114.61612701416,126.625854492187
7-2013,94.0399093627929,91.4374847412109
8-2013,102.770675659179,108.7583694458
9-2013,144.401779174804,179.889724731445
10-2013,171.022247314453,225.373306274414
11-2013,89.9061431884765,89.915168762207
12-2013,104.6021194458,115.02074432373
1-2014,93.5007400512695,107.705139160156
2-2014,88.9853363037109,93.369285583496
3-2014,93.4675979614257,101.018730163574
4-2014,91.1180191040039,96.9934310913085
